concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Esisar										4	50.0	25.0	1995	1958	6
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Isae-Ensma Poitiers										31	12.9	32.3	1326	1195	28
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Isima Clermont-Ferrand										7	0.0	14.3	2695	2663	8
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Lorraine Inp - Ensem - Energie										29	24.1	24.1	2887	2771	24
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Lorraine Inp - Ensem - Spécialité Des Systèmes Numériques										6	0.0	16.7	2753	2745	5
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Seatech Toulon										14	7.1	28.6	2445	2396	18
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Supmeca Paris										18	27.8	33.3	1997	1917	22
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Telecom Physique Strasbourg										25	36.0	24.0	1871	1865	31
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Enseeiht - Electronique-Energie-Automatique (Eea)										18	16.7	22.2	1363	1337	20
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Enseeiht - Mécanique Des Fluides-Energetique-Environnement (Mfee)										16	37.5	43.8	604	548	17
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Enseeiht - Sciences Du Numérique										11	9.1	45.5	804	766	10
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Ensiacet - Génie Des Procédés										15	20.0	40.0	2025	1992	16
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Ensiacet - Génie Industriel										11	45.5	18.2	1828	1861	9
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Concours_Ccinp_Pc_Physique	4730	36.7	21.2				3699	36.4	22.0	614					599
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Bordeaux Inp - Enscbp Chimie-Génie Physique										38	55.3	15.8	2166	2079	42
