concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
fesic	ecam_epmi_cergy_pontoise	802	17.5	14.5	765	17.9	14.8	312	19.2	14.1	14	7.1	7.1	284	268	20	
fesic	esiee_amiens_unilasalle	802	17.5	14.5	663	18.1	15.2	189	20.1	15.9	0	0.0	0.0	0	0	12	
fesic	unilasalle_beauvais_sciences_de_la_terre_et_environnement	802	17.5	14.5	715	18.5	15.0	55	20.0	16.4	0	0.0	0.0	0	0	3	
groupe_insa	isis_castres_informatique_pour_la_santé	633	22.7	17.1	339	24.2	18.0	339	24.2	18.0	0	0.0	0.0	0	0	1	
groupe_insa_inter_filière	esitech_rouen_génie_physique	1686	14.4	17.1	876	15.8	19.1	876	15.8	19.1	2	50.0	50.0	94	94	2	
groupe_insa_inter_filière	esitech_rouen_génie_physique	4917	32.4	20.1	2740	33.6	23.0	2740	33.6	23.0	4	75.0	75.0	2189	2104	6	
groupe_insa_inter_filière	esitech_rouen_technologies_du_vivant	4439	47.9	20.4	2290	51.6	23.0	2290	51.6	23.0	3	100.0	0.0	999	795	3	
groupe_insa_inter_filière	insa_centre_val_de_loire_génie_des_systèmes_industriels	3426	22.7	16.5	2012	23.6	19.4	2012	23.6	19.4	6	16.7	0.0	1861	1766	20	
groupe_insa_inter_filière	insa_centre_val_de_loire_maã®trise_des_risques_industriels	1686	14.4	17.1	876	15.8	19.1	876	15.8	19.1	5	20.0	0.0	264	329	5	
groupe_insa_inter_filière	insa_centre_val_de_loire_maã®trise_des_risques_industriels	4917	32.4	20.1	2740	33.6	23.0	2740	33.6	23.0	4	50.0	25.0	2644	2561	25	
groupe_insa_inter_filière	insa_centre_val_de_loire_sécurité_et_technologies_informatiques	3414	25.7	19.1	1127	25.8	21.0	1127	25.8	21.0	0	0.0	0.0	0	0	1	
groupe_insa_inter_filière	insa_hauts_de_france_electronique_des_systèmes_embarqués	5246	26.3	19.3	2711	26.8	21.8	2711	26.8	21.8	6	33.3	16.7	2388	2377	11	
groupe_insa_inter_filière	insa_hauts_de_france_génie_civil_et_bâtiment	2538	26.8	16.1	1337	26.2	18.2	1337	26.2	18.2	5	20.0	20.0	1066	1007	5	
groupe_insa_inter_filière	insa_hauts_de_france_génie_civil_et_bâtiment	2649	36.4	21.0	1358	37.4	24.1	1358	37.4	24.1	9	33.3	44.4	1136	1100	8	
groupe_insa_inter_filière	insa_hauts_de_france_génie_industriel	3426	22.7	16.5	2012	23.6	19.4	2012	23.6	19.4	4	75.0	25.0	1663	1683	9	
groupe_insa_inter_filière	insa_hauts_de_france_informatique_et_cybersécurité	3414	25.7	19.1	1127	25.8	21.0	1127	25.8	21.0	0	0.0	0.0	0	0	4	
groupe_insa_inter_filière	insa_hauts_de_france_informatique_industrielle_et_automatique	5246	26.3	19.3	2711	26.8	21.8	2711	26.8	21.8	1	0.0	0.0	2645	2645	10	
groupe_insa_inter_filière	insa_hauts_de_france_mécanique_et_energétique										17	29.4	11.8	1705	1639	28	
groupe_insa_inter_filière	insa_hauts_de_france_mécatronique										9	33.3	11.1	1909	1752	12	
groupe_insa_inter_filière	Concours INSA Domaine GÃ©nie mÃ©canique, gÃ©nie industriel et mÃ©catronique PSI-PT	3426	22.7	16.5	2012	23.6	19.4	2012	23.6	19.4	26					40	
groupe_insa_inter_filière	insa_lyon_biosciences	4439	47.9	20.4	2290	51.6	23.0	2290	51.6	23.0	3	66.7	33.3	49	68	4	
groupe_insa_inter_filière	insa_lyon_génie_civil_et_urbanisme	2538	26.8	16.1	1337	26.2	18.2	1337	26.2	18.2	9	55.6	0.0	297	281	8	
groupe_insa_inter_filière	insa_lyon_génie_civil_et_urbanisme	2649	36.4	21.0	1358	37.4	24.1	1358	37.4	24.1	5	80.0	20.0	101	154	5	
groupe_insa_inter_filière	insa_lyon_génie_electrique	5246	26.3	19.3	2711	26.8	21.8	2711	26.8	21.8	8	12.5	25.0	571	558	8	
groupe_insa_inter_filière	insa_lyon_génie_energétique_et_environnement	4483	38.1	19.6	1607	38.3	22.0	1607	38.3	22.0	4	25.0	50.0	152	147	4	
groupe_insa_inter_filière	insa_lyon_génie_industriel										8	12.5	0.0	306	267	7	
groupe_insa_inter_filière	insa_lyon_génie_mécanique										23	21.7	0.0	421	385	25	
groupe_insa_inter_filière	Concours INSA Domaine GÃ©nie mÃ©canique, gÃ©nie industriel et mÃ©catronique PSI-PT	3426	22.7	16.5	2012	23.6	19.4	2012	23.6	19.4	31					32	
groupe_insa_inter_filière	insa_lyon_informatique	3414	25.7	19.1	1127	25.8	21.0	1127	25.8	21.0	3	33.3	33.3	78	87	3	
groupe_insa_inter_filière	insa_lyon_science_et_génie_des_matériaux	1686	14.4	17.1	876	15.8	19.1	876	15.8	19.1	1	0.0	0.0	89	89	1	
groupe_insa_inter_filière	insa_lyon_science_et_génie_des_matériaux	4917	32.4	20.1	2740	33.6	23.0	2740	33.6	23.0	10	30.0	30.0	458	464	10	
groupe_insa_inter_filière	insa_lyon_télécommunications,_services_et_usages	3414	25.7	19.1	1127	25.8	21.0	1127	25.8	21.0	4	0.0	25.0	531	481	4	
groupe_insa_inter_filière	insa_rennes_electronique_et_informatique_industrielle	5246	26.3	19.3	2711	26.8	21.8	2711	26.8	21.8	3	0.0	0.0	1406	1140	3	
groupe_insa_inter_filière	insa_rennes_génie_civil_et_urbain	2649	36.4	21.0	1358	37.4	24.1	1358	37.4	24.1	2	50.0	0.0	687	687	2	
groupe_insa_inter_filière	insa_rennes_génie_civil_et_urbain	2538	26.8	16.1	1337	26.2	18.2	1337	26.2	18.2	2	50.0	50.0	505	505	2	
groupe_insa_inter_filière	insa_rennes_génie_mécanique_et_automatique	3426	22.7	16.5	2012	23.6	19.4	2012	23.6	19.4	4	25.0	25.0	933	861	4	
groupe_insa_inter_filière	insa_rennes_informatique	3414	25.7	19.1	1127	25.8	21.0	1127	25.8	21.0	1	0.0	0.0	880	880	2	
groupe_insa_inter_filière	insa_rennes_science_et_génie_des_matériaux	1686	14.4	17.1	876	15.8	19.1	876	15.8	19.1	1	100.0	0.0	176	176	1	
groupe_insa_inter_filière	insa_rennes_science_et_génie_des_matériaux	4917	32.4	20.1	2740	33.6	23.0	2740	33.6	23.0	3	66.7	33.3	1002	1181	3	
groupe_insa_inter_filière	insa_rennes_système_et_réseaux_de_communication	5246	26.3	19.3	2711	26.8	21.8	2711	26.8	21.8	1	0.0	0.0	1983	1983	3	
groupe_insa_inter_filière	insa_rouen_normandie_chimie_et_procédés										4	75.0	50.0	1207	1024	4	
groupe_insa_inter_filière	insa_rouen_normandie_energétique_et_propulsion										4	25.0	0.0	1190	1013	4	
groupe_insa_inter_filière	Concours INSA DomaineÂEnergÃ©tique â€“ GÃ©nie Chimique â€“ Environnement MP-PC-PSI	4483	38.1	19.6	1607	38.3	22.0	1607	38.3	22.0	8					8	
groupe_insa_inter_filière	insa_rouen_normandie_génie_civil_et_constructions_durables	2649	36.4	21.0	1358	37.4	24.1	1358	37.4	24.1	2	0.0	50.0	960	960	2	
groupe_insa_inter_filière	insa_rouen_normandie_génie_civil_et_constructions_durables	2538	26.8	16.1	1337	26.2	18.2	1337	26.2	18.2	2	50.0	50.0	502	502	2	
groupe_insa_inter_filière	insa_rouen_normandie_génie_mathématique										2	50.0	50.0	603	603	2	
groupe_insa_inter_filière	insa_rouen_normandie_informatique_et_technologie_de_l'information										3	33.3	0.0	953	989	2	
groupe_insa_inter_filière	Concours INSA Domaine Informatique, mathÃ©matique, modÃ©lisation PC-PSI-PT	3414	25.7	19.1	1127	25.8	21.0	1127	25.8	21.0	5					4	
groupe_insa_inter_filière	insa_rouen_normandie_maã®trise_des_risques_industriels	4483	38.1	19.6	1607	38.3	22.0	1607	38.3	22.0	0	0.0	0.0	0	0	6	
