concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
banque_epreuves_ccinp	lorraine_inp_enstib	476	34.2	20.2	295	35.6	14.9	25	44.0	20.0	4	50.0	50.0	15	15	6	
concours_commun_tpe	entpe_lyon_civil										19	42.1	42.1	334	329	21	
concours_commun_tpe	entpe_lyon_fonctionnaire										27	44.4	44.4	189	187	27	
concours_commun_tpe	Concours TPE - Candidats franÃ§ais et de l'Union europÃ©enne - filiÃ¨re
					MP	2503	29.6	22.7	1480	29.3	24.1	406	44.3	26.1	46					48	
concours_commun_tpe	entpe_lyon_etranger	2503	29.6	22.7	96	32.3	19.8	28	35.7	17.9	1	0.0	100.0	15	15	1	
concours_commun_tpe	eivp_paris_civil	2503	29.6	22.7	1576	29.4	23.8	434	43.8	25.6	18	66.7	16.7	336	298	23	
concours_commun_tpe	eivp_paris_fonctionnaire	2503	29.6	22.7	1480	29.3	24.1	406	44.3	26.1	4	75.0	0.0	183	181	4	
concours_commun_tpe	imt_lille_douai_fonct.	2503	29.6	22.7	1480	29.3	24.1	406	44.3	26.1	0	0.0	0.0	0	0	0	
concours_mines_télécom	imt_mines_albi										62	41.9	17.7	1662	1652	53	
concours_mines_télécom	imt_mines_alès										63	50.8	12.7	1527	1516	63	
concours_mines_télécom	ensiie_evry										71	16.9	25.4	1922	1865	72	
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_étudiant)										42	38.1	40.5	1022	1008	43	
concours_mines_télécom	imt_lille_douai										76	27.6	23.7	1720	1663	72	
concours_mines_télécom	mines_saint_etienne_ismin										36	16.7	25.0	1523	1522	38	
concours_mines_télécom	télécom_physique_strasbourg_réseaux_et_télécoms										22	22.7	22.7	2340	2279	18	
concours_mines_télécom	télécom_physique_strasbourg_ti_santé										7	71.4	14.3	1672	1666	8	
concours_mines_télécom	telecom_sudparis_cursus_evry										83	25.3	33.7	924	895	84	
concours_mines_télécom	telecom_sudparis_cursus_sophia_antipolis										5	40.0	20.0	770	693	4	
concours_mines_télécom	Concours Mines-TÃ©lÃ©com MP	5138	25.4	20.4	2869	24.4	21.3	2676	24.7	21.1	467					455	
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_ieta_direction_générale_de_l'armement)	5138	25.4	20.4	2375	23.3	24.3	2236	23.6	23.9	14	50.0	35.7	768	764	14	
concours_mines_télécom	ensg_géomatique_marne_la_vallée_civil										10	10.0	10.0	2418	2257	11	
concours_mines_télécom	ensg_nancy										5	20.0	60.0	2540	2569	5	
concours_mines_télécom	enssat_lannion										27	18.5	37.0	2560	2448	25	
concours_mines_télécom	telecom_nancy										60	21.7	25.0	2137	2060	55	
concours_mines_télécom	telecom_st_etienne_statut_étudiant										20	15.0	20.0	2411	2334	21	
concours_mines_télécom	telecom_st_etienne_statut_apprenti										2	50.0	0.0	2504	2504	3	
concours_mines_télécom	Concours Mines-TÃ©lÃ©com SpÃ©cifique MP	5138	25.4	20.4	3757	25.3	20.9	3193	25.7	21.1	124					120	
concours_polytech_inter_filière	ensibs_lorient										6	16.7	16.7	4132*	3804*	14*	
concours_polytech_inter_filière	ensim_le_mans										4	50.0	0.0	2275*	2591*	10*	
concours_polytech_inter_filière	esbs_strasbourg										0	0.0	0.0	1302*	1222*	3*	
concours_polytech_inter_filière	esgt_le_mans										3	66.7	33.3	3170*	2990*	15*	
concours_polytech_inter_filière	esi_reims_packaging										0	0.0	0.0	3730*	3139*	8*	
concours_polytech_inter_filière	esi_reims_energetique										1	100.0	100.0	4121*	4099*	5*	
