ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
Grenoble__INP_-_Phelma_(Physique_Matériaux_Procédés)										30	43.3	16.7	980	963	31	
Grenoble_INP_-_ENSIMAG										13	15.4	23.1	612	554	10	
Grenoble_INP_-_Esisar										7	14.3	14.3	2160	2177	12	
ISAE-ENSMA_Poitiers										60	18.3	13.3	1160	1092	58	
ISIMA_Clermont-Ferrand										9	33.3	11.1	3031	3005	8	
Lorraine_INP_-_ENSEM_-_Energie										36	22.2	11.1	3340	3169	37	
Lorraine_INP_-_ENSEM_-_Spécialité_des_systèmes_numériques										16	25.0	12.5	2974	2964	12	
Lorraine_INP_-_ENSIC										9	44.4	22.2	2833	2643	9	
SeaTech_Toulon										26	30.8	42.3	2519	2494	29	
SIGMA_Clermont-Ferrand__-_spécialité_mécanique_avancée										45	15.6	22.2	2814	2720	60	
SUPMECA_Paris										51	19.6	23.5	2032	1972	50	
TELECOM_PHYSIQUE_Strasbourg										24	29.2	20.8	2270	2277	28	
Toulouse_INP_-_ENSEEIHT_-_Electronique-Energie-Automatique_(EEA)										44	29.5	27.3	1459	1345	43	
Toulouse_INP_-_ENSEEIHT_-_Mécanique_des_Fluides-Energetique-Environnement_(MFEE)										22	31.8	27.3	1115	998	20	
Toulouse_INP_-_ENSEEIHT_-_Sciences_du_Numérique										50	6.0	12.0	1406	1368	44	
Toulouse_INP_-_ENSIACET_-_Génie_des_Procédés										11	36.4	36.4	2161	2149	11	
Toulouse_INP_-_ENSIACET_-_Génie_Industriel										19	10.5	5.3	2084	2076	15	
Concours CCINP PSI	5301	24.9	16.6				3652	23.2	17.7	875					877	
ENSIL_-_ENSCI_Limoges_Céramique_Industrielle										5	40.0	20.0	1994*	1905*	45*	
ENSIL_-_ENSCI_Limoges_EE										5	20.0	20.0	1707*	1644*	28*	
