concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensicaen_electronique_et_physique_appliquée										19	15.8	42.1	2760	2674	18	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensicaen_informatique										8	0.0	50.0	2223	2189	8	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensmm_besanã§on										19	31.6	36.8	2659	2610	22	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_ense3										54	24.1	24.1	1481	1427	60	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_pagora										21	52.4	23.8	2951	2794	18	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_phelma_(physique_electronique_télécoms)										31	25.8	29.0	1269	1190	34	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_phelma_(physique_matériaux_procédés)										58	37.9	27.6	960	893	65	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_ensimag										10	50.0	40.0	631	564	10	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_esisar										4	50.0	25.0	1995	1958	6	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	isae_ensma_poitiers										31	12.9	32.3	1326	1195	28	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	isima_clermont_ferrand										7	0.0	14.3	2695	2663	8	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	lorraine_inp_ensem_energie										29	24.1	24.1	2887	2771	24	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	lorraine_inp_ensem_spécialité_des_systèmes_numériques										6	0.0	16.7	2753	2745	5	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	seatech_toulon										14	7.1	28.6	2445	2396	18	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	supmeca_paris										18	27.8	33.3	1997	1917	22	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	telecom_physique_strasbourg										25	36.0	24.0	1871	1865	31	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_enseeiht_electronique_energie_automatique_(eea)										18	16.7	22.2	1363	1337	20	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_enseeiht_mécanique_des_fluides_energetique_environnement_(mfee)										16	37.5	43.8	604	548	17	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_enseeiht_sciences_du_numérique										11	9.1	45.5	804	766	10	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_ensiacet_génie_des_procédés										15	20.0	40.0	2025	1992	16	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_ensiacet_génie_industriel										11	45.5	18.2	1828	1861	9	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	Concours CCINP PC-Physique	4730	36.7	21.2				3699	36.4	22.0	614					599	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	bordeaux_inp_enscbp_chimie_génie_physique										38	55.3	15.8	2166	2079	42	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	cpe_lyon_chimie_â€“_génie_des_procédés										39	61.5	25.6	2666	2524	40	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ecpm_esbs_strasbourg_chembiotech										6	66.7	16.7	826	842	5	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ecpm_strasbourg										40	65.0	22.5	1381	1324	45	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_lille										42	61.9	21.4	1848	1717	40	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_montpellier										58	55.2	8.6	797	795	60	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_mulhouse										32	59.4	12.5	2045	1947	30	
