concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Polytech	Isat Nevers - Département Epee (Energies Et Moteurs)										3	0.0	0.0	660	642	3
Concours Polytech	Isat Nevers - Infrastructures Et Réseaux De Transports										4	0.0	25.0	1083	1084	5
Concours Polytech	Isifc Besanã§On - Génie Biomédical										2	50.0	50.0	818	818	2
Concours Polytech	Isis Castres										1	0.0	0.0	1016	1016	2
Concours Polytech	Isty Vélizy										1	0.0	0.0	1244	1244	1
Concours Polytech	Polytech Annecy-Chambéry - Environnement, Bâtiment, Ã‰Nergie										5	0.0	0.0	915	796	4
Concours Polytech	Polytech Annecy-Chambéry - Informatique Données Usages										1	0.0	0.0	1148	1148	3
Concours Polytech	Polytech Annecy-Chambéry - Instrumentation, Automatique, Informatique										2	0.0	0.0	1024	1024	3
Concours Polytech	Polytech Annecy-Chambéry - Mécanique, Matériaux										3	0.0	0.0	839	791	3
Concours Polytech	Polytech Clermont-Ferrand - Génie Civil										3	33.3	33.3	821	843	3
Concours Polytech	Polytech Clermont-Ferrand - Génie Electrique										4	0.0	50.0	1175	1135	4
Concours Polytech	Polytech Clermont-Ferrand - Génie Physique										0	0.0	0.0	0	0	3
Concours Polytech	Polytech Grenoble - Géotechnique Et Génie Civil										3	0.0	33.3	784	754	3
Concours Polytech	Polytech Grenoble - Informatique Et Électronique Des Systèmes Embarqués										3	0.0	0.0	766	814	3
Concours Polytech	Polytech Lille - Informatique, Microélectronique, Automatique										3	0.0	33.3	852	813	3
Concours Polytech	Polytech Lille - Mécanique										7	14.3	0.0	805	845	7
Concours Polytech	Polytech Lyon - Systèmes Industriels, Robotique										1	0.0	0.0	663	663	2
Concours Polytech	Polytech Marseille - Génie Civil										5	20.0	20.0	1022	996	6
Concours Polytech	Polytech Marseille - Génie Industriel Et Informatique										3	0.0	33.3	1095	1104	3
Concours Polytech	Polytech Marseille - Mécanique, Energétique										9	0.0	33.3	1044	989	8
Concours Polytech	Polytech Marseille - Microélectronique,Télécommunications										1	0.0	0.0	1164	1164	3
Concours Polytech	Polytech Montpellier - Mécanique Et Interactions										3	0.0	0.0	710	678	2
Concours Polytech	Polytech Nancy - Energie, Mécanique, Matériaux, Environnement										6	33.3	33.3	1115	1007	4
Concours Polytech	Polytech Nancy - Ingénierie De L'Information Et Des Systèmes										0	0.0	0.0	0	0	2
Concours Polytech	Polytech Nancy - Management Opérationnel, Maintenance, Maã®Trise Des Risques										0	0.0	0.0	0	0	2
