concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Matériaux										2	50.0	0.0	1658	1499	22
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Mécatronique										5	20.0	20.0	1180	1134	22
Banque Epreuves Ccinp  Inter-Filière	Concours_Ensil_Ensci_Inter_Fil.	1056	33.4	15.4				664	34.5	13.3	22					145
Banque Epreuves Ccinp  Inter-Filière	Grenoble Inp - Génie Industriel	1508	32.1	18.6				747	30.9	21.4	34	23.5	29.4	1520	1440	76
Banque Epreuves Ccinp  Inter-Filière	Lorraine Inp - Eeigm	504	37.5	18.5				183	41.5	19.1	2	50.0	50.0	456	438	10
Banque Epreuves Ccinp  Inter-Filière	Lorraine Inp - Ensgsi	868	34.3	17.5				454	35.7	19.8	9	44.4	66.7	1210	1101	38
Banque Epreuves Ccinp	Ecole De L'Air Base	667	21.7	26.1				124	16.1	48.4	2	50.0	50.0	29	29	2
Banque Epreuves Ccinp	Ecole De L'Air Méca	644	21.6	25.0				117	17.9	47.9	4	25.0	100.0	75	71	4
Banque Epreuves Ccinp	Ecole De L'Air Pilote	707	21.5	23.6				130	13.1	40.0	16	6.2	50.0	38	31	16
Banque Epreuves Ccinp	Enac Toulouse - Contrôleurs Aériens	1022	25.9	24.5				193	36.3	26.4	51	41.2	25.5	47	43	52
Banque Epreuves Ccinp	Ensai Rennes Civil	1929	29.0	22.5				1244	26.6	25.1	47	23.4	44.7	357	345	51
Banque Epreuves Ccinp	Ensai Rennes Fonctionnaire (Attaché Insee)	1324	27.7	22.8				961	27.0	25.5	25	36.0	40.0	422	424	27
Banque Epreuves Ccinp	Ensisa Mulhouse Automatique Et Systèmes Embarqués										5	0.0	40.0	454	442	3
Banque Epreuves Ccinp	Ensisa Mulhouse Informatique Et Réseaux										5	20.0	40.0	364	339	5
Banque Epreuves Ccinp	Ensisa Mulhouse Mécanique										4	50.0	0.0	422	435	5
Banque Epreuves Ccinp	Ensisa Mulhouse Textile Et Fibres										3	100.0	0.0	491	486	2
Banque Epreuves Ccinp	Concours_Ensisa_Mp	1350	32.6	17.1				858	33.4	15.9	17					15
Banque Epreuves Ccinp	Eost Strasbourg	638	35.3	19.1				482	36.9	18.5	12	25.0	41.7	259	249	11
Banque Epreuves Ccinp	Esm Saint-Cyr	633	16.3	25.9				89	10.1	46.1	28	3.6	39.3	39	40	28
Banque Epreuves Ccinp	Lorraine Inp - Enstib	599	36.2	18.7				371	38.8	16.7	2	0.0	0.0	284	242	6
Concours Polytech Inter-Filière	Ensibs Lorient										11	18.2	0.0	3683	3829	16
Concours Polytech Inter-Filière	Ensim Le Mans										2	0.0	0.0	3935	3901	10
Concours Polytech Inter-Filière	Esbs Strasbourg										1	0.0	0.0	1347	1236	3
Concours Polytech Inter-Filière	Esgt Le Mans										7	28.6	28.6	3604	3539	15
Concours Polytech Inter-Filière	Esi Reims - Energetique										1	0.0	0.0	4594	4463	5
Concours Polytech Inter-Filière	Esi Reims - Génie Urbain Et Environnement										2	50.0	0.0	3093	3036	4
Concours Polytech Inter-Filière	Esi Reims - Packaging										1	100.0	0.0	4816	4667	6
Concours Polytech Inter-Filière	Esiab Brest										0	0.0	0.0	4439	4436	4
Concours Polytech Inter-Filière	Esipe Créteil - Génie Biomédical Et Santé (Isbs)										1	100.0	0.0	4596	4059	10
Concours Polytech Inter-Filière	Esipe Créteil - Système D'Information										3	66.7	66.7	3733	3807	3
Concours Polytech Inter-Filière	Esipe Créteil - Technologie Pour La Santé										3	66.7	33.3	3723	3724	3
Concours Polytech Inter-Filière	Esir Rennes										9	11.1	0.0	3835	3540	20
Concours Polytech Inter-Filière	Esirem Dijon										2	0.0	50.0	3293	3102	5
Concours Polytech Inter-Filière	Esiroi Saint Denis De La Réunion										0	0.0	0.0	0	0	3
Concours Polytech Inter-Filière	Esix Normandie - Caen - Cherbourg										1	0.0	100.0	4379	4116	4
Concours Polytech Inter-Filière	Isat Nevers - Département Mit (Mécanique Et Ingénierie Des Transports)										2	0.0	0.0	2228	2054	5
Concours Polytech Inter-Filière	Isat Nevers - Département Epee (Energies Et Moteurs)										2	0.0	0.0	3229	3326	12
Concours Polytech Inter-Filière	Isat Nevers - Infrastructures Et Réseaux De Transports										2	0.0	0.0	4695	4575	4
Concours Polytech Inter-Filière	Isifc Besanã§On - Génie Biomédical										4	75.0	50.0	3083	2762	8
Concours Polytech Inter-Filière	Isty Vélizy										4	0.0	25.0	4192	4125	3
Concours Polytech Inter-Filière	Polytech Angers Bâtiment : Exploitation, Maintenance Et Sécurité										0	0.0	0.0	4963	4963	2
Concours Polytech Inter-Filière	Polytech Angers Qualité Innovation Fiabilité										0	0.0	0.0	2659	2659	2
Concours Polytech Inter-Filière	Polytech Angers Systèmes Automatisés Et Génie Informatique										2	0.0	0.0	3532	3452	4
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Environnement, Bâtiment, Ã‰Nergie										7	42.9	28.6	4323	3919	19
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Informatique Données Usages										6	16.7	33.3	4055	3894	4
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Instrumentation, Automatique, Informatique										3	33.3	33.3	3361	3495	4
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Mécanique, Matériaux										3	0.0	0.0	4059	3896	8
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Biologique										0	0.0	0.0	2712	3034	5
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Civil										8	25.0	25.0	3573	3434	16
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Electrique										1	0.0	0.0	4380	4479	5
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Mathématique Et Modélisation										8	37.5	12.5	3523	3220	14
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Physique										4	50.0	25.0	4718	4489	8
Concours Polytech Inter-Filière	Polytech Grenoble - Géotechnique Et Génie Civil										6	66.7	16.7	2850	2655	6
Concours Polytech Inter-Filière	Polytech Grenoble - Matériaux										3	100.0	0.0	3914	3594	6
Concours Polytech Inter-Filière	Polytech Grenoble - Prévention Des Risques										2	0.0	0.0	4540	4324	6
Concours Polytech Inter-Filière	Polytech Grenoble - Informatique										3	0.0	33.3	2728	2592	8
Concours Polytech Inter-Filière	Polytech Grenoble - Informatique Et Électronique Des Systèmes Embarqués										6	66.7	0.0	2276	2073	5
Concours Polytech Inter-Filière	Polytech Grenoble - Technologies De L'Information Pour La Santé										4	75.0	25.0	4084	3724	6
Concours Polytech Inter-Filière	Polytech Lille - Génie Biologique Et Alimentaire										0	0.0	0.0	2701	2832	4
Concours Polytech Inter-Filière	Polytech Lille - Génie Informatique Et Statistique										7	28.6	42.9	3448	3323	10
Concours Polytech Inter-Filière	Polytech Lille - Géotechnique, Génie Civil										7	42.9	28.6	3161	2919	10
Concours Polytech Inter-Filière	Polytech Lille - Informatique, Microélectronique, Automatique										7	0.0	14.3	3152	3102	6
